scenario_id,tool_name,file_name,precision,recall,f1_score,accuracy,total_lines_expected,total_lines_actual,lines_correctly_merged,lines_missing,lines_extra,syntactic_correctness,compilation_status,structural_integrity,lexical_similarity,semantic_similarity,edit_distance,quality_class,confidence_score,error_types,critical_errors,minor_errors,processing_time,file_size_bytes,checksum_expected,checksum_actual
scenario_16,JDime,person.java,0.5,1.0,0.6666666666666666,0.5,1,2,1,0,1,False,unknown,0.8,0.6363636363636364,0.4666666666666667,8,MergeQuality.POOR,0.9883807774716866,"['unresolved_conflicts', 'syntax_errors', 'extra_content']",2,1,0.025647,1018,aa93fa84cef4852b4e8ff8b833770aa6,8a85e97b794b5bb4137627718153d443
scenario_16,JDime,contactData.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.001003,598,59ee16ce8f1f6250c49872deb4a457b8,59ee16ce8f1f6250c49872deb4a457b8
scenario_17,JDime,contactMethods.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000611,474,3153525e491c08c4b437b70271ee717b,3153525e491c08c4b437b70271ee717b
scenario_18,JDime,personBasicInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000974,426,7d8b6ce708926dd5b46f531b233f4654,7d8b6ce708926dd5b46f531b233f4654
scenario_18,JDime,personContactInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000594,484,62da2a2fb1d5369fe289d2ccfcb77d63,62da2a2fb1d5369fe289d2ccfcb77d63
scenario_19,JDime,coreInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000427,218,5c1859b527c2ff8b192bc560568baba4,b1cbf36d8a2d40b40f49b8e8d8c3cf4c
scenario_19,JDime,extendedInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000433,470,cad29d9a382870364c02c8018440d817,b0938fb2d3617b90da31cff0c7f780a2
scenario_2,JDime,person.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.8,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.000652,1006,3f61b9e08e11c1c413150dab66a2d819,94acd78245827b8df73ae9a3e424f710
scenario_20,JDime,personContact.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.034175,746,75c14216859e63769378c0998921f96e,75c14216859e63769378c0998921f96e
scenario_20,JDime,personId.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.002823,415,13fcbed7b79cc41a910d438399781626,13fcbed7b79cc41a910d438399781626
scenario_21,JDime,identity.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.00082,487,5022d3e8778b7443ff3cb1dd11acb971,354b04115f815118aad450df3ba2349f
scenario_21,JDime,contact.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000546,464,13de8f3a4f6076c18c1c66fa6f82c5bd,13de8f3a4f6076c18c1c66fa6f82c5bd
scenario_22,JDime,extendedPerson.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000531,321,48e49cba3e7c15f38f3c50c85c3d59b8,1217824cbc086ae54e5b29eed7590eb6
scenario_22,JDime,basicPerson.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000501,419,193a3391ae0a315d135a68c9d6aafafd,d8069f83172b189bf992c4db2966beb6
scenario_23,JDime,notificationStrategy.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.7,1.0,1.0,0,MergeQuality.PERFECT,1.0,['syntax_errors'],1,0,0.000448,90,8225c7e5575077fa8357d76c39e63900,8225c7e5575077fa8357d76c39e63900
scenario_23,JDime,pushStrategy.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.00042,312,640c5ae21117376b119b1ea6e53f1d2c,640c5ae21117376b119b1ea6e53f1d2c
scenario_23,JDime,notificationService.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.8,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.000751,2075,bcede8e2a4205d7a98f926297a7ac333,a88189bc2a926816ccbd05b5c917838c
scenario_23,JDime,emailStrategy.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000447,315,ed55166b71ba58e51bc4a7159175d94b,ed55166b71ba58e51bc4a7159175d94b
scenario_23,JDime,smsStrategy.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.00035,293,83fcbbfcd4bd7733c67b56b238986d14,83fcbbfcd4bd7733c67b56b238986d14
scenario_24,JDime,location.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000293,271,2eb4966deb798c00584f6e4c3be98c14,2eb4966deb798c00584f6e4c3be98c14
scenario_24,JDime,client.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000357,412,b6c679ea086730b209a308689a53b2ba,b6c679ea086730b209a308689a53b2ba
scenario_25,JDime,user.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000307,639,c1d7c343b25485fde00ebfb432299e95,c1d7c343b25485fde00ebfb432299e95
scenario_26,JDime,order.java,0.6666666666666666,1.0,0.8,0.6666666666666666,2,3,2,0,1,False,unknown,0.8,0.6666666666666666,0.5,8,MergeQuality.ACCEPTABLE,0.9774074074074074,"['unresolved_conflicts', 'syntax_errors', 'extra_content']",2,1,0.00033,514,0250cc03c7c6f96836ee6db8ce5d452a,d21096acee931a2977479e518a793e15
scenario_26,JDime,custumer.java,0.6666666666666666,1.0,0.8,0.6666666666666666,2,3,2,0,1,False,unknown,0.8,0.6666666666666666,0.5,8,MergeQuality.ACCEPTABLE,0.9774074074074074,"['unresolved_conflicts', 'syntax_errors', 'extra_content']",2,1,0.000487,538,4b3bca9f24fd118e9edbf040ea1ac8a1,cfa0a8fd1121ab3d9f78f69fa913b6ba
scenario_27,JDime,division.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000308,457,09a85778163a5683428418db975652b1,09a85778163a5683428418db975652b1
scenario_27,JDime,worker.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000482,667,30099eb0acdedeb0c29c25ca195208bc,30099eb0acdedeb0c29c25ca195208bc
scenario_28,JDime,address.java,0.6666666666666666,1.0,0.8,0.6666666666666666,2,3,2,0,1,False,unknown,0.8,0.6666666666666666,0.5,8,MergeQuality.ACCEPTABLE,0.9774074074074074,"['unresolved_conflicts', 'syntax_errors', 'extra_content']",2,1,0.000443,491,f536c48510c93dd8e0b8c0827afd1e44,2b6826c5af7519ddccec17836a29666b
scenario_29,JDime,position.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000334,450,b37f71ac868052a94f49c014b7663694,b37f71ac868052a94f49c014b7663694
scenario_29,JDime,organization.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000322,530,5dd2ba2d1ff7eb437da638aec38433b6,5dd2ba2d1ff7eb437da638aec38433b6
